time(s),boardID,aX,aY,aZ,gX,gY,gZ
0.52,1,-0.92,-0.03,0.22,-14.53,-2.29,-0.47
0.53,1,-0.93,-0.03,0.22,-15.31,-4.03,-0.21
0.53,1,-0.92,-0.02,0.23,-14.21,-4.45,0.02
0.54,1,-0.92,-0.02,0.25,-12.65,-3.05,-0.87
0.54,1,-0.92,-0.02,0.24,-13.66,-1.51,-1.40
0.54,1,-0.92,-0.02,0.23,-14.36,-0.46,-1.33
0.55,1,-0.93,-0.02,0.24,-14.70,-3.14,-0.62
0.55,1,-0.92,-0.02,0.23,-13.86,-6.87,1.15
0.55,1,-0.92,-0.02,0.26,-11.81,-10.21,2.40
0.55,1,-0.91,-0.00,0.28,-10.95,-10.44,2.13
0.55,1,-0.90,0.01,0.31,-14.19,-5.87,-0.05
0.56,1,-0.89,-0.00,0.31,-16.44,4.38,-2.37
0.56,1,-0.91,0.00,0.28,-14.96,9.51,-5.06
0.56,1,-0.92,-0.01,0.26,-13.63,8.44,-5.65
0.56,1,-0.92,-0.01,0.24,-13.91,7.53,-4.60
0.56,1,-0.93,-0.02,0.23,-14.83,5.30,-3.85
0.56,1,-0.93,-0.03,0.22,-15.36,1.77,-2.56
0.56,1,-0.93,-0.03,0.23,-14.05,-5.10,0.89
0.57,1,-0.91,-0.01,0.24,-12.76,-7.18,0.77
0.57,1,-0.90,-0.00,0.27,-14.30,-3.72,-0.56
0.57,1,-0.90,-0.00,0.27,-14.66,4.34,-2.74
0.57,1,-0.91,-0.01,0.25,-14.78,10.43,-5.95
0.57,1,-0.92,-0.03,0.22,-14.55,10.37,-6.61
0.58,1,-0.94,-0.03,0.21,-16.13,5.60,-3.27
0.58,1,-0.93,-0.04,0.19,-15.11,-1.92,-0.91
0.58,1,-0.93,-0.04,0.22,-13.61,-5.43,-0.39
0.58,1,-0.92,-0.03,0.22,-12.97,-5.58,0.16
0.58,1,-0.92,-0.01,0.22,-14.46,-4.09,-0.15
0.59,1,-0.92,-0.02,0.23,-14.63,-5.27,0.48
0.59,1,-0.92,-0.03,0.25,-13.81,-5.77,0.54
0.59,1,-0.92,-0.02,0.24,-12.71,-3.56,-0.21
0.59,1,-0.92,-0.01,0.26,-14.00,-3.82,-0.13
0.59,1,-0.91,-0.01,0.25,-13.74,-4.52,-0.18
0.59,1,-0.92,-0.00,0.27,-14.10,-2.54,-0.43
0.6,1,-0.91,-0.00,0.27,-14.29,-2.21,-0.80
0.6,1,-0.92,-0.01,0.26,-13.34,-0.41,-1.87
0.6,1,-0.92,-0.02,0.27,-14.18,1.59,-2.70
0.6,1,-0.91,-0.01,0.27,-14.28,1.00,-1.95
0.61,1,-0.92,-0.01,0.26,-15.00,0.47,-1.85
0.61,1,-0.91,-0.01,0.27,-13.66,0.07,-2.02
0.61,1,-0.91,-0.01,0.26,-14.04,1.53,-2.45
0.61,1,-0.91,-0.01,0.25,-15.05,4.11,-3.26
0.61,1,-0.92,-0.02,0.27,-15.31,5.53,-3.63
0.61,1,-0.92,-0.02,0.24,-15.41,5.44,-3.58
0.61,1,-0.93,-0.03,0.22,-13.80,3.54,-3.34
0.62,1,-0.93,-0.02,0.22,-13.33,-1.40,-1.25
0.62,1,-0.93,-0.02,0.23,-13.77,-3.19,-0.36
0.62,1,-0.91,-0.01,0.25,-13.66,-0.20,-1.70
0.62,1,-0.92,-0.02,0.24,-14.58,3.50,-3.31
0.62,1,-0.92,-0.03,0.23,-14.81,4.73,-3.55
0.62,1,-0.93,-0.03,0.22,-15.08,0.96,-2.05
0.63,1,-0.93,-0.03,0.20,-14.30,-3.31,-0.10
0.63,1,-0.92,-0.02,0.23,-13.76,-4.56,0.18
0.63,1,-0.92,-0.01,0.24,-13.78,-3.10,-0.66
0.63,1,-0.92,-0.02,0.24,-13.60,-0.96,-1.39
0.63,1,-0.92,-0.02,0.22,-13.27,-1.61,-0.95
0.64,1,-0.92,-0.02,0.23,-13.61,-5.66,0.60
0.64,1,-0.92,-0.02,0.25,-13.94,-8.22,1.42
0.64,1,-0.92,-0.02,0.27,-13.89,-7.76,1.27
0.64,1,-0.90,-0.00,0.27,-12.99,-6.38,0.87
0.64,1,-0.91,0.01,0.28,-12.63,-3.02,-1.64
0.67,1,-0.91,-0.00,0.29,-13.98,2.12,-2.53
0.74,1,-0.91,-0.00,0.29,-16.16,7.08,-3.24
0.82,1,-0.91,-0.00,0.27,-16.11,11.20,-6.63
0.89,1,-0.91,-0.01,0.26,-15.09,15.44,-8.62
0.97,1,-0.88,-0.01,0.25,-15.53,25.92,-16.01
1.04,1,-0.93,-0.03,0.09,-18.85,17.11,-14.24
1.12,1,-1.21,-0.08,0.24,-1.98,-143.15,57.12
1.19,1,-1.00,0.02,0.34,-1.21,-250.14,104.41
1.26,1,-0.57,0.17,0.66,-2.08,-180.23,67.34
1.34,1,-0.41,0.24,0.90,-13.69,-15.49,14.00
1.41,1,-0.47,0.23,0.82,-15.69,10.33,-13.48
1.49,1,-0.52,0.27,0.96,-8.60,37.04,-19.23
1.56,1,-0.52,0.24,0.82,-22.05,44.49,-8.05
1.64,1,-0.71,0.19,0.75,-22.92,57.74,-21.79
1.71,1,-0.80,0.09,0.61,-9.04,54.56,-28.47
1.79,1,-0.85,0.12,0.57,-10.98,63.81,-30.79
1.86,1,-0.88,0.12,0.59,-17.87,7.79,-1.22
1.93,1,-0.72,0.11,0.61,-18.43,-1.87,4.49
2.01,1,-0.80,0.13,0.63,-15.24,8.53,-2.52
2.08,1,-0.79,0.11,0.56,-16.04,13.31,-7.01
2.16,1,-0.83,0.08,0.55,-14.93,22.47,-10.11
2.23,1,-0.88,0.08,0.49,-10.22,16.76,-9.24
2.31,1,-0.92,0.09,0.45,-12.64,-0.44,-4.69
2.38,1,-0.92,0.05,0.47,-16.27,-24.90,9.37
2.45,1,-0.86,0.09,0.54,-12.90,-45.61,17.04
2.53,1,-0.79,0.12,0.60,-11.59,-55.11,19.16
2.6,1,-0.71,0.15,0.73,-11.53,-56.69,17.79
2.67,1,-0.53,0.19,0.78,-9.84,-35.24,9.01
2.75,1,-0.50,0.21,0.84,-16.92,18.75,-7.51
2.83,1,-0.61,0.18,0.71,-19.90,58.74,-20.48
2.9,1,-0.80,0.10,0.61,-17.50,69.60,-26.12
2.97,1,-0.93,0.08,0.50,-13.70,45.90,-22.55
3.05,1,-0.82,0.06,0.48,-15.31,11.27,-7.34
3.12,1,-1.24,0.16,0.70,-2.93,-195.81,75.31
3.2,1,-0.93,0.22,0.60,0.10,-250.14,157.90
3.27,1,0.11,0.22,0.80,-1.68,-250.14,90.38
3.35,1,0.28,0.39,1.11,-12.63,-28.48,10.76
3.42,1,0.16,0.32,1.00,-16.56,26.77,-18.38
3.49,1,0.05,0.30,1.06,-17.55,78.96,-29.62
3.57,1,0.01,0.29,1.04,-18.37,121.48,-35.56
3.64,1,-0.22,0.29,1.01,-17.24,138.59,-62.65
3.72,1,-0.50,0.20,0.90,-12.79,147.70,-74.01
3.79,1,-0.68,0.14,0.70,-21.18,158.65,-58.47
3.87,1,-0.79,0.12,0.57,-21.24,155.72,-57.16
3.94,1,-0.84,0.01,0.49,-24.06,138.53,-58.35
4.02,1,-0.99,-0.02,0.27,-22.64,115.27,-43.87
4.09,1,-1.04,-0.05,0.12,-20.07,27.55,-10.92
4.16,1,-0.99,-0.04,0.12,-9.75,-4.85,-3.15
4.24,1,-0.93,-0.06,0.12,-10.62,-14.53,4.05
4.31,1,-0.94,-0.03,0.15,-14.47,-22.49,7.00
4.39,1,-0.93,-0.05,0.19,-14.27,-33.74,11.40
4.46,1,-0.90,0.00,0.27,-14.32,-32.74,12.39
4.53,1,-0.88,0.04,0.36,-8.98,-23.15,6.31
4.61,1,-0.86,0.04,0.38,-12.44,-4.65,-1.01
4.68,1,-0.91,0.03,0.36,-14.72,6.31,-3.52
4.75,1,-0.91,0.01,0.28,-14.71,0.30,-2.11
4.83,1,-0.94,-0.03,0.27,-13.92,-22.85,4.24
