time(s),boardID,aX,aY,aZ,gX,gY,gZ
0.5,1,-0.73,-0.27,-0.45,-14.20,0.48,-1.95
0.51,1,-0.73,-0.26,-0.44,-13.80,-1.60,-1.11
0.51,1,-0.73,-0.26,-0.43,-13.66,-2.18,-0.87
0.52,1,-0.74,-0.26,-0.42,-13.81,-2.06,-0.77
0.53,1,-0.73,-0.26,-0.43,-13.81,-1.30,-1.23
0.53,1,-0.74,-0.26,-0.42,-14.23,-1.40,-1.24
0.54,1,-0.73,-0.26,-0.42,-14.30,-1.58,-1.24
0.55,1,-0.74,-0.26,-0.43,-13.58,-2.49,-0.68
0.55,1,-0.74,-0.26,-0.42,-13.99,-3.96,-0.21
0.56,1,-0.75,-0.26,-0.42,-13.69,-4.89,0.02
0.56,1,-0.75,-0.25,-0.41,-13.73,-3.77,-0.08
0.56,1,-0.75,-0.25,-0.40,-13.39,-0.66,-1.10
0.57,1,-0.75,-0.25,-0.40,-12.87,2.89,-2.34
0.57,1,-0.75,-0.26,-0.42,-13.77,3.34,-2.89
0.57,1,-0.74,-0.26,-0.42,-14.82,2.19,-2.96
0.58,1,-0.74,-0.26,-0.43,-14.80,0.61,-2.76
0.58,1,-0.74,-0.26,-0.42,-14.19,0.31,-2.34
0.58,1,-0.74,-0.26,-0.42,-13.67,0.66,-1.69
0.58,1,-0.74,-0.26,-0.43,-13.05,1.21,-2.01
0.59,1,-0.74,-0.26,-0.43,-14.17,1.97,-2.44
0.59,1,-0.74,-0.26,-0.42,-15.21,1.56,-3.09
0.59,1,-0.73,-0.26,-0.43,-14.63,1.50,-3.19
0.59,1,-0.74,-0.27,-0.44,-14.37,1.50,-2.50
0.59,1,-0.73,-0.26,-0.43,-13.44,0.44,-1.42
0.6,1,-0.73,-0.26,-0.43,-13.73,-0.41,-1.36
0.6,1,-0.73,-0.27,-0.44,-14.33,-1.14,-1.27
0.6,1,-0.73,-0.27,-0.43,-14.35,-1.49,-1.53
0.6,1,-0.73,-0.26,-0.43,-13.85,-1.36,-1.37
0.6,1,-0.73,-0.26,-0.42,-13.99,-0.92,-1.28
0.61,1,-0.73,-0.26,-0.42,-13.64,-0.37,-1.74
