time(s),boardID,aX,aY,aZ,gX,gY,gZ
0.51,1,-0.72,0.17,0.74,-14.29,4.79,-4.24
0.51,1,-0.85,0.17,0.75,-11.65,4.30,-3.39
0.51,1,-0.70,0.16,0.75,-18.39,2.01,-0.62
0.52,1,-0.68,0.20,0.73,-14.42,3.63,-3.16
0.52,1,-0.70,0.19,0.74,-12.51,5.82,-3.38
0.52,1,-0.76,0.18,0.71,-14.56,8.10,-3.21
0.53,1,-0.70,0.17,0.70,-14.88,0.31,-0.43
0.53,1,-0.71,0.18,0.70,-13.24,-2.37,-1.04
0.53,1,-0.73,0.17,0.71,-12.34,-2.99,-1.88
0.54,1,-0.74,0.18,0.71,-12.77,-5.21,-5.96
0.54,1,-0.72,0.17,0.73,-9.79,-2.01,-4.45
0.55,1,-0.72,0.17,0.73,-12.38,-0.16,-3.82
0.55,1,-0.73,0.16,0.73,-14.47,-0.85,-2.34
0.56,1,-0.72,0.16,0.72,-16.01,1.43,-1.57
0.56,1,-0.73,0.15,0.71,-14.24,3.02,4.37
0.56,1,-0.73,0.19,0.68,-18.93,-3.19,1.13
0.57,1,-0.76,0.16,0.70,-20.94,-2.08,3.15
0.57,1,-0.76,0.16,0.68,-19.68,-2.90,2.71
0.57,1,-0.74,0.16,0.69,-17.82,-5.31,1.51
0.58,1,-0.70,0.17,0.71,-12.93,-4.47,-0.03
0.58,1,-0.71,0.17,0.72,-12.02,-5.50,-1.06
0.58,1,-0.72,0.17,0.74,-7.53,-2.89,-3.33
0.59,1,-0.72,0.19,0.74,-7.21,1.12,-5.19
0.59,1,-0.72,0.16,0.71,-11.72,6.79,-7.47
0.59,1,-0.72,0.17,0.71,-9.76,6.97,-7.09
0.6,1,-0.74,0.18,0.70,-12.78,2.68,-6.82
0.6,1,-0.73,0.14,0.69,-13.92,-2.55,-1.34
0.61,1,-0.73,0.16,0.72,-12.63,-2.56,-0.18
0.61,1,-0.71,0.18,0.70,-16.22,-1.13,-0.53
0.61,1,-0.69,0.15,0.71,-15.63,-1.12,0.00
0.62,1,-0.70,0.18,0.73,-11.71,-0.53,-1.78
0.62,1,-0.72,0.19,0.72,-13.27,1.25,-1.14
0.62,1,-0.72,0.17,0.73,-14.76,0.38,-1.44
0.63,1,-0.73,0.17,0.73,-14.06,0.05,-1.93
0.63,1,-0.72,0.17,0.73,-13.20,1.42,-1.85
0.63,1,-0.72,0.17,0.72,-14.14,0.53,-1.79
0.63,1,-0.73,0.17,0.71,-14.58,0.79,-2.44
0.64,1,-0.73,0.17,0.73,-14.17,1.35,-2.64
0.64,1,-0.73,0.17,0.72,-13.67,1.99,-2.63
0.64,1,-0.73,0.17,0.72,-13.89,1.08,-2.00
0.65,1,-0.72,0.17,0.71,-14.43,-0.62,-1.56
0.65,1,-0.73,0.17,0.70,-13.63,-3.04,-1.73
0.65,1,-0.72,0.16,0.71,-12.93,-5.05,-1.78
0.66,1,-0.73,0.16,0.72,-11.86,-4.83,-0.08
0.66,1,-0.73,0.18,0.70,-13.73,-3.49,2.27
0.66,1,-0.73,0.16,0.71,-19.05,-2.47,2.74
0.66,1,-0.74,0.15,0.71,-15.45,-1.43,1.36
0.67,1,-0.73,0.18,0.72,-14.56,-2.31,0.39
0.67,1,-0.72,0.18,0.72,-15.82,-2.47,-0.25
0.67,1,-0.71,0.18,0.74,-13.77,-0.06,-1.47
0.68,1,-0.72,0.18,0.72,-13.39,2.78,-3.63
0.68,1,-0.73,0.17,0.73,-14.37,2.49,-3.73
0.68,1,-0.73,0.18,0.72,-15.28,4.14,-4.15
0.68,1,-0.72,0.16,0.69,-13.80,5.35,-4.22
0.69,1,-0.72,0.19,0.70,-12.08,4.50,-4.23
0.7,1,-0.72,0.15,0.70,-11.58,1.89,-4.10
