time(s),boardID,aX,aY,aZ,gX,gY,gZ
0.52,1,-0.85,-0.20,-0.24,-15.27,2.50,-3.24
0.52,1,-0.84,-0.20,-0.24,-14.19,5.66,-3.97
0.52,1,-0.84,-0.20,-0.26,-14.11,8.55,-5.21
0.53,1,-0.83,-0.20,-0.26,-15.31,8.84,-5.69
0.54,1,-0.83,-0.20,-0.28,-16.70,7.36,-5.74
0.55,1,-0.83,-0.21,-0.28,-16.60,2.57,-4.37
0.55,1,-0.81,-0.21,-0.29,-15.64,-2.26,-0.59
0.55,1,-0.80,-0.22,-0.30,-16.58,-7.24,-0.24
0.56,1,-0.82,-0.21,-0.29,-12.20,-7.33,1.15
0.56,1,-0.86,-0.25,-0.34,-11.23,-4.32,-0.35
0.56,1,-0.80,-0.21,-0.28,-12.85,-6.13,-0.32
0.57,1,-0.80,-0.21,-0.30,-14.05,-3.71,-1.10
0.57,1,-0.84,-0.22,-0.30,-13.98,0.20,-1.26
0.57,1,-0.82,-0.22,-0.29,-12.16,4.66,-1.45
0.58,1,-0.82,-0.20,-0.28,-11.05,7.08,-0.20
0.58,1,-0.82,-0.20,-0.30,-11.46,8.85,-3.67
0.58,1,-0.81,-0.22,-0.29,-12.09,11.47,-7.70
0.59,1,-0.83,-0.21,-0.28,-11.40,1.06,-0.36
0.59,1,-0.84,-0.22,-0.29,-11.01,-2.93,2.09
0.59,1,-0.81,-0.20,-0.27,-12.69,-8.53,1.56
0.59,1,-0.85,-0.21,-0.25,-12.98,-10.05,2.62
0.59,1,-0.85,-0.20,-0.26,-13.72,-8.24,0.58
0.6,1,-0.84,-0.20,-0.26,-15.48,-5.20,-0.85
0.6,1,-0.84,-0.19,-0.26,-16.44,-4.16,-0.70
0.6,1,-0.84,-0.19,-0.27,-15.66,-3.68,-1.63
0.6,1,-0.83,-0.21,-0.24,-14.48,-3.41,-1.96
0.61,1,-0.84,-0.20,-0.26,-14.44,-1.07,-1.52
0.61,1,-0.85,-0.20,-0.25,-13.54,1.54,-1.89
0.61,1,-0.84,-0.20,-0.25,-12.24,4.95,-2.68
0.61,1,-0.83,-0.21,-0.25,-12.68,7.74,-3.84
0.61,1,-0.83,-0.21,-0.27,-15.12,9.69,-5.19
0.61,1,-0.83,-0.21,-0.28,-15.67,9.88,-6.27
0.62,1,-0.81,-0.22,-0.30,-17.98,6.40,-6.13
0.62,1,-0.80,-0.21,-0.32,-20.28,2.53,-5.99
0.62,1,-0.80,-0.21,-0.31,-17.18,-3.70,-3.41
0.63,1,-0.81,-0.22,-0.31,-13.25,-9.37,0.56
0.63,1,-0.81,-0.23,-0.31,-13.40,-13.08,3.53
0.63,1,-0.81,-0.25,-0.30,-13.56,-7.56,5.18
0.63,1,-0.81,-0.21,-0.28,-10.69,-4.10,3.75
0.63,1,-0.81,-0.20,-0.27,-10.27,-3.85,1.41
0.64,1,-0.82,-0.21,-0.30,-12.10,3.38,-2.52
0.64,1,-0.83,-0.22,-0.30,-13.35,6.92,-4.87
0.64,1,-0.80,-0.22,-0.27,-9.53,6.79,-1.82
0.64,1,-0.82,-0.21,-0.30,-8.11,7.18,-1.35
0.64,1,-0.83,-0.20,-0.30,-10.32,5.02,-2.19
0.65,1,-0.78,-0.20,-0.27,-12.08,-2.06,-1.98
0.65,1,-0.84,-0.21,-0.28,-12.76,-2.44,1.46
0.65,1,-0.84,-0.20,-0.27,-15.98,-4.27,-0.57
0.65,1,-0.83,-0.21,-0.25,-16.68,-5.08,-1.24
0.66,1,-0.82,-0.20,-0.26,-15.50,-7.73,-0.18
0.66,1,-0.83,-0.19,-0.25,-15.08,-8.16,-0.17
0.66,1,-0.85,-0.20,-0.23,-16.56,-8.00,0.24
0.66,1,-0.85,-0.20,-0.24,-15.17,-4.31,-0.75
0.66,1,-0.84,-0.20,-0.24,-14.09,0.11,-2.47
0.66,1,-0.84,-0.20,-0.25,-14.22,3.12,-2.76
0.66,1,-0.84,-0.20,-0.25,-14.45,4.61,-2.76
0.67,1,-0.85,-0.20,-0.25,-12.97,6.57,-3.23
0.67,1,-0.84,-0.21,-0.27,-11.94,7.20,-4.31
0.68,1,-0.82,-0.21,-0.27,-13.58,8.98,-4.99
0.68,1,-0.82,-0.21,-0.31,-18.18,8.44,-6.56
0.68,1,-0.82,-0.22,-0.31,-19.16,5.07,-6.64
0.69,1,-0.80,-0.21,-0.31,-19.65,1.12,-5.34
0.76,1,-0.81,-0.22,-0.32,-18.78,-2.94,-3.57
0.84,1,-0.81,-0.22,-0.31,-14.77,-2.69,-1.63
0.91,1,-0.81,-0.21,-0.30,-11.85,0.11,-1.20
0.99,1,-0.82,-0.22,-0.30,-11.74,10.48,-4.21
1.06,1,-0.83,-0.19,-0.26,-10.58,28.57,-10.24
1.14,1,-0.79,-0.24,-0.33,-16.33,25.72,-14.32
1.21,1,-0.86,-0.38,-0.37,-11.15,5.58,12.89
1.29,1,-0.71,-0.16,-0.32,-17.86,-44.76,15.61
1.36,1,-0.72,-0.16,-0.43,-4.55,-53.35,11.33
1.43,1,-0.66,-0.14,-0.35,-9.68,-47.33,14.58
1.51,1,-0.84,-0.19,-0.36,-13.00,-49.72,13.33
1.58,1,-0.90,-0.19,-0.20,-12.69,-19.48,7.63
1.66,1,-1.05,-0.04,-0.34,-10.97,10.23,-7.65
1.73,1,-0.81,-0.14,-0.11,-1.93,51.39,-22.44
1.8,1,-0.95,-0.27,-0.16,-8.37,79.83,-38.76
1.88,1,-0.68,-0.24,-0.16,-5.73,21.86,-10.53
1.95,1,-0.74,-0.21,-0.25,-6.88,24.90,-14.27
2.03,1,-0.85,-0.20,-0.30,-23.91,20.87,-1.62
2.1,1,-0.50,-0.19,-0.32,-8.94,9.23,3.05
2.18,1,-0.78,-0.31,-0.39,-21.45,9.49,-18.94
2.25,1,-0.85,-0.19,-0.28,-19.18,-36.36,8.76
2.33,1,-0.84,-0.16,-0.21,-18.75,-10.60,-0.54
2.4,1,-0.79,-0.20,-0.22,-16.95,-16.53,-1.61
2.47,1,-0.80,-0.23,-0.25,-24.34,-11.08,5.27
2.55,1,-0.85,-0.22,-0.22,-16.85,-12.29,0.53
2.62,1,-0.81,-0.26,-0.08,-24.00,-14.34,-4.70
2.7,1,-0.84,-0.17,-0.21,-5.45,9.31,-5.79
2.77,1,-0.80,-0.17,-0.24,-14.66,26.75,-7.21
2.84,1,-0.82,-0.21,-0.31,-22.60,54.16,-7.42
2.92,1,-0.69,-0.27,-0.36,-16.38,58.50,-28.77
3.0,1,-0.68,-0.32,-0.40,-7.37,21.73,-15.66
3.07,1,-0.69,-0.38,-0.44,-13.67,-41.79,13.98
3.14,1,-0.71,-0.28,-0.49,-9.27,-97.60,36.22
3.22,1,-0.80,-0.22,-0.42,-7.90,-114.37,35.57
3.29,1,-0.75,-0.23,-0.35,-8.57,-69.75,25.23
3.36,1,-0.82,-0.20,-0.28,-5.11,12.63,-4.84
3.44,1,-0.86,-0.18,-0.28,-10.10,57.39,-21.52
3.52,1,-0.88,-0.20,-0.27,-12.61,88.69,-28.79
3.59,1,-0.85,-0.22,-0.30,-8.57,53.94,-14.20
3.66,1,-0.91,-0.27,-0.33,-26.23,30.36,2.57
3.74,1,-0.81,-0.18,-0.36,-1.84,2.31,-2.38
3.81,1,-0.70,-0.20,-0.05,-26.98,-87.30,18.39
3.89,1,-0.72,-0.16,-0.44,-12.81,-82.95,25.50
3.96,1,-0.93,-0.15,-0.25,-23.27,-14.08,-0.38
