time(s),boardID,aX,aY,aZ,gX,gY,gZ
0.51,1,-0.79,-0.22,-0.05,-4.34,-20.54,13.79
0.52,1,-0.98,-0.20,-0.08,-12.61,-16.93,11.90
0.52,1,-0.87,-0.16,-0.09,-10.18,-3.68,2.50
0.53,1,-0.85,-0.18,-0.12,-3.73,9.46,-2.84
0.54,1,-0.98,-0.14,-0.14,-10.38,23.68,-10.77
0.54,1,-0.86,-0.14,-0.08,-5.81,28.66,-20.99
0.55,1,-0.87,-0.18,-0.13,-18.67,40.08,-27.35
0.56,1,-0.63,-0.22,-0.04,-9.37,-6.66,0.70
0.56,1,-0.70,-0.08,-0.09,-23.67,12.21,-6.18
0.56,1,-0.58,-0.08,-0.13,10.52,-13.10,0.04
0.57,1,-0.66,-0.11,-0.11,-16.15,4.67,-6.49
0.57,1,-1.35,-0.37,-0.11,5.69,4.33,6.27
0.57,1,-1.25,-0.22,0.04,-14.37,3.11,-5.39
0.57,1,-0.83,-0.14,-0.24,-21.12,7.18,2.26
0.57,1,-0.85,-0.21,-0.19,-18.55,-8.20,6.55
0.57,1,-0.89,-0.24,-0.19,-19.56,-8.52,-0.15
0.58,1,-0.84,-0.14,-0.06,-8.33,-19.45,7.30
0.58,1,-0.91,-0.21,-0.13,-12.37,10.63,-8.45
0.58,1,-0.99,-0.14,-0.15,-20.44,16.47,-7.76
0.58,1,-0.83,-0.11,-0.11,-22.36,16.61,-12.57
0.58,1,-1.06,-0.12,-0.28,-10.40,5.92,-15.77
0.59,1,-0.92,-0.19,-0.16,-17.38,8.10,-10.28
0.59,1,-0.84,-0.18,-0.19,-20.64,4.11,-4.62
0.59,1,-1.16,-0.90,-0.35,2.08,1.35,-12.96
0.59,1,-0.76,-0.23,-0.19,-10.13,-24.71,9.81
0.59,1,-0.85,-0.18,-0.15,-8.53,-12.52,1.26
0.59,1,-0.85,-0.24,-0.07,-26.90,-31.13,21.55
0.6,1,-0.79,-0.20,-0.15,-15.60,-25.44,9.24
0.6,1,-0.85,-0.18,-0.15,-17.23,-5.13,-3.27
0.6,1,-0.89,-0.13,-0.13,-14.46,11.21,-3.23
0.6,1,-0.89,-0.11,-0.18,-14.26,14.74,-8.11
0.61,1,-0.72,-0.10,-0.11,-2.26,13.89,-12.16
0.61,1,-0.77,-0.17,-0.15,-16.82,29.97,-22.09
0.61,1,-0.91,-0.24,-0.02,-13.58,-0.41,14.13
0.61,1,-0.77,-0.15,-0.17,-16.34,-3.89,2.70
0.61,1,-1.20,-0.29,-0.34,-10.26,-3.49,1.55
0.61,1,-0.87,-0.08,-0.10,-5.18,-8.76,7.71
0.61,1,-0.92,-0.12,-0.03,-8.66,3.85,0.20
0.62,1,-1.20,-0.21,-0.22,-19.34,-11.78,3.54
0.62,1,-0.91,-0.06,-0.14,-3.82,-7.28,-0.01
0.62,1,-0.90,-0.18,-0.09,-21.37,10.07,1.43
0.62,1,-0.80,-0.12,-0.09,-17.40,-11.21,0.26
0.62,1,-0.94,-0.20,-0.13,-10.05,-15.85,1.00
0.63,1,-0.90,-0.17,-0.05,-14.37,-11.26,-1.74
0.63,1,-0.88,-0.12,-0.06,-13.18,3.20,-1.61
0.63,1,-1.01,-0.18,-0.20,-17.74,21.84,-8.50
0.63,1,-0.85,-0.13,-0.11,-14.63,14.77,-7.92
0.63,1,-0.93,-0.04,-0.23,-16.81,-11.24,0.95
0.64,1,-0.85,-0.14,-0.15,-9.70,-11.86,-0.96
0.64,1,-0.82,-0.22,-0.18,-17.40,-7.08,-1.61
0.64,1,-1.01,0.15,-0.38,-1.56,-36.31,1.44
0.64,1,-1.02,-0.28,-0.05,-9.18,-35.05,3.94
0.64,1,-0.87,-0.24,-0.14,-19.24,-19.82,-1.63
0.64,1,-0.88,-0.24,-0.05,-22.58,-10.08,10.05
0.64,1,-0.76,-0.19,-0.19,-15.97,-5.53,-2.72
0.65,1,-0.90,-0.17,-0.13,-17.79,10.27,-10.69
0.65,1,-0.91,-0.14,-0.15,-11.56,14.52,-1.14
0.65,1,-0.83,-0.13,-0.14,-2.46,20.95,-15.27
0.65,1,-0.92,-0.23,-0.15,-21.78,27.76,-9.47
0.66,1,-1.13,-0.25,-0.24,-8.43,21.32,8.40
0.66,1,-0.96,-0.12,-0.24,-12.64,-9.51,6.70
0.66,1,-0.88,-0.19,-0.17,-0.92,7.31,-3.98
0.66,1,-1.07,-0.10,-0.15,5.65,-49.15,17.03
0.66,1,-0.85,-0.26,-0.08,-13.01,-40.50,12.56
0.66,1,-0.80,-0.13,-0.07,-8.92,-7.72,0.87
0.66,1,-0.91,-0.03,-0.05,-11.08,1.60,-7.11
0.67,1,-0.91,-0.01,-0.06,-17.15,24.24,-4.40
0.67,1,-0.99,-0.20,-0.21,-17.74,9.93,-4.32
0.67,1,-0.90,-0.15,-0.07,-17.96,-6.57,-1.17
0.67,1,-0.93,-0.14,-0.16,-12.51,-5.76,1.44
0.67,1,-0.94,-0.14,-0.18,-18.90,-8.01,1.78
0.68,1,-0.89,-0.13,-0.14,-11.11,4.40,-0.10
0.68,1,-0.85,-0.15,-0.12,-11.22,11.18,-6.47
0.68,1,-0.82,-0.13,-0.13,-9.17,-8.64,2.34
0.68,1,-0.93,-0.25,-0.30,-9.44,6.46,-14.81
0.69,1,-0.80,-0.19,-0.19,-12.65,-4.29,-2.44
0.69,1,-0.85,-0.17,-0.18,-17.28,-0.24,-2.45
0.69,1,-1.03,-0.75,-0.21,-18.18,-21.68,-0.95
0.69,1,-0.62,-0.12,-0.15,-23.48,-28.05,8.62
0.69,1,-0.91,-0.17,-0.09,-11.69,-15.65,-0.73
