time(s),boardID,aX,aY,aZ,gX,gY,gZ
0.51,1,-0.93,-0.14,-0.09,15.73,-5.50,15.61
0.52,1,-0.94,-0.12,-0.14,12.18,-24.47,11.50
0.52,1,-0.91,-0.18,-0.04,2.37,-1.66,-1.35
0.53,1,-0.90,-0.15,-0.03,-5.28,-0.16,4.80
0.54,1,-0.93,-0.15,-0.03,-13.72,-2.24,8.20
0.54,1,-0.94,-0.19,-0.03,-15.79,-13.25,14.01
0.55,1,-0.94,-0.15,0.05,-18.74,-25.53,16.02
0.55,1,-0.89,-0.08,0.01,-20.51,-25.55,11.93
0.55,1,-0.96,-0.04,0.00,-13.95,-31.66,12.95
0.56,1,-0.91,-0.03,0.08,-14.76,-33.92,1.47
0.56,1,-0.93,-0.06,0.11,-19.51,-21.68,3.04
0.57,1,-0.89,-0.00,0.09,-34.40,-0.53,-7.03
0.57,1,-0.93,-0.03,0.13,-33.33,4.18,-5.03
0.58,1,-0.92,-0.04,0.10,-30.81,16.51,-8.27
0.58,1,-0.92,-0.05,0.09,-29.79,32.60,-6.76
0.58,1,-0.89,-0.04,0.05,-28.63,50.43,-9.67
0.59,1,-0.93,-0.12,-0.04,-21.89,68.11,-19.55
0.59,1,-0.88,-0.13,-0.14,-20.31,76.02,-26.03
0.59,1,-1.08,-0.26,-0.34,13.50,67.28,-49.59
0.59,1,-0.97,-0.28,-0.20,-18.74,19.96,-25.98
0.6,1,-0.90,-0.22,-0.23,-19.83,-0.81,-3.31
0.6,1,-0.94,-0.15,-0.21,-10.32,-19.31,13.60
0.61,1,-0.90,-0.17,-0.20,-12.73,-14.92,-1.22
0.61,1,-0.90,-0.18,-0.17,-11.63,-15.31,6.22
0.61,1,-0.91,-0.12,-0.23,-1.69,-7.18,16.31
0.62,1,-0.83,-0.13,-0.18,-4.63,-16.88,7.38
0.62,1,-0.89,-0.17,-0.17,4.98,-4.06,-2.74
0.62,1,-0.88,-0.16,-0.17,4.44,3.27,-4.01
0.62,1,-0.89,-0.17,-0.17,3.76,3.29,-0.27
0.63,1,-0.87,-0.15,-0.20,0.24,0.59,1.67
0.63,1,-0.88,-0.15,-0.20,-1.98,-9.81,-3.25
0.63,1,-0.85,-0.17,-0.15,-6.08,-11.47,3.21
0.64,1,-0.91,-0.23,-0.12,-11.70,-7.67,10.71
0.64,1,-0.89,-0.16,-0.14,-18.29,-7.13,11.37
0.64,1,-0.93,-0.12,-0.15,-22.23,-0.96,4.48
0.64,1,-0.88,-0.15,-0.16,-18.76,-7.06,-7.32
0.64,1,-0.85,-0.14,-0.12,-13.69,-12.03,-9.67
0.64,1,-0.83,-0.16,-0.12,-24.46,1.54,-8.49
0.65,1,-0.90,-0.17,-0.15,-26.95,1.31,-7.92
0.65,1,-0.88,-0.16,-0.12,-30.43,2.08,-12.21
0.65,1,-0.86,-0.16,-0.15,-31.43,17.34,-20.18
0.65,1,-0.89,-0.24,-0.16,-19.55,25.31,-20.37
0.66,1,-0.83,-0.24,-0.12,-27.85,28.17,-19.47
0.66,1,-0.97,-0.20,-0.31,-36.38,52.05,-21.63
0.66,1,-0.83,-0.27,-0.35,-29.41,59.63,-24.78
0.66,1,-0.89,-0.28,-0.30,-22.37,27.79,-18.78
0.66,1,-0.77,-0.22,-0.34,-21.42,-8.71,-5.03
0.67,1,-0.81,-0.26,-0.29,-10.85,-2.66,-1.27
0.67,1,-0.75,-0.22,-0.31,2.69,-5.88,6.34
0.67,1,-0.79,-0.27,-0.32,10.04,-11.04,5.08
0.67,1,-0.87,-0.29,-0.29,10.30,-23.80,5.60
0.67,1,-0.86,-0.30,-0.28,6.72,-26.71,9.33
0.67,1,-0.88,-0.34,-0.24,-1.21,-30.58,12.99
0.67,1,-0.79,-0.30,-0.18,-0.67,-35.46,17.02
0.68,1,-0.81,-0.26,-0.13,-5.59,-22.52,22.62
0.68,1,-0.86,-0.27,-0.08,-0.56,-17.27,20.29
0.68,1,-0.88,-0.27,-0.08,-3.85,-9.05,15.08
0.68,1,-0.87,-0.22,-0.11,2.40,-16.57,2.98
0.69,1,-0.81,-0.16,-0.06,-9.42,-4.08,-2.24
0.69,1,-0.88,-0.20,-0.09,-1.66,-12.53,8.95
0.69,1,-0.87,-0.19,-0.08,3.47,-18.96,5.72
0.69,1,-0.87,-0.14,-0.10,-1.93,-32.92,8.43
0.69,1,-0.91,-0.16,0.00,-10.68,-26.50,9.66
0.69,1,-0.90,-0.11,0.00,-14.99,-21.61,11.51
0.7,1,-0.90,-0.11,0.02,-18.57,-10.89,9.21
0.7,1,-0.93,-0.16,0.06,-20.02,0.14,-1.03
0.7,1,-0.87,-0.15,0.03,-25.34,16.66,-11.10
0.7,1,-0.90,-0.11,0.01,-23.64,14.42,-15.15
0.7,1,-0.73,-0.29,0.26,-21.36,19.76,-9.35
0.71,1,-1.08,-0.14,-0.03,-26.67,23.02,-3.34
0.71,1,-1.00,-0.08,-0.13,-20.43,31.76,-19.31
0.71,1,-0.89,-0.13,-0.07,-15.91,24.77,-17.54
0.71,1,-0.86,-0.15,-0.10,-16.85,20.47,-7.53
0.72,1,-0.94,-0.26,-0.11,-10.84,-4.10,-14.34
0.72,1,-0.88,-0.29,-0.09,-6.92,-3.56,6.50
0.72,1,-0.88,-0.21,-0.10,-18.47,-3.20,5.81
0.72,1,-0.89,-0.21,-0.11,-13.37,-3.79,2.26
0.72,1,-0.90,-0.24,-0.08,-5.89,-2.76,1.67
0.72,1,-0.90,-0.20,-0.09,-3.60,-3.38,11.45
0.72,1,-0.91,-0.20,-0.12,-4.23,-4.08,12.82
0.73,1,-0.90,-0.18,-0.07,-6.89,-9.76,9.83
0.73,1,-0.90,-0.18,-0.07,-9.71,-9.74,5.64
0.73,1,-0.90,-0.17,-0.05,-10.35,-11.81,5.87
0.74,1,-0.94,-0.13,-0.03,-15.51,-9.97,7.64
0.74,1,-0.94,-0.10,-0.01,-32.79,-8.18,-10.54
0.74,1,-0.91,-0.16,-0.02,-41.49,-1.62,-17.35
0.74,1,-0.93,-0.20,-0.02,-35.15,0.58,-16.59
0.74,1,-0.92,-0.20,-0.01,-28.44,1.02,-9.69
0.74,1,-0.90,-0.20,-0.02,-15.15,3.13,-2.45
0.74,1,-0.87,-0.22,-0.03,-6.08,3.98,2.08
0.75,1,-0.88,-0.21,-0.05,-3.08,6.02,4.99
0.75,1,-0.87,-0.20,-0.08,-1.69,11.70,3.56
0.75,1,-0.88,-0.19,-0.09,-4.83,16.66,-1.46
0.75,1,-0.86,-0.19,-0.16,-8.15,21.30,-5.81
0.75,1,-0.86,-0.20,-0.17,-15.40,22.33,-8.83
0.76,1,-0.85,-0.21,-0.18,-19.02,23.46,-12.54
0.76,1,-0.84,-0.24,-0.23,-22.41,20.24,-12.47
0.76,1,-0.83,-0.23,-0.25,-23.35,25.81,-14.72
0.76,1,-0.81,-0.25,-0.28,-21.13,27.58,-15.47
0.76,1,-0.89,-0.33,-0.15,-35.47,4.42,9.56
