time(s),boardID,aX,aY,aZ,gX,gY,gZ
0.52,1,-0.58,-0.31,-0.85,18.73,9.98,-6.76
0.52,1,-0.42,-0.29,-0.69,18.61,9.55,-6.72
0.52,1,-0.23,-0.34,-0.50,18.79,10.15,-6.59
0.53,1,-0.50,-0.51,-0.73,18.55,9.68,-7.12
0.54,1,-0.51,-0.29,-0.60,18.62,9.95,-6.80
0.54,1,-0.58,-0.32,-0.64,18.38,9.70,-6.82
0.55,1,-0.58,-0.35,-0.60,18.36,9.91,-6.83
0.56,1,-0.64,-0.31,-0.64,18.65,9.85,-6.56
0.56,1,-0.50,-0.38,-0.68,18.47,9.81,-6.76
0.57,1,-0.47,-0.33,-0.67,18.52,9.88,-6.73
0.57,1,-0.52,-0.35,-0.69,18.66,9.75,-7.05
0.57,1,-0.49,-0.31,-0.66,18.40,9.92,-6.97
0.57,1,-0.50,-0.32,-0.69,18.48,9.69,-6.82
0.57,1,-0.48,-0.40,-0.83,18.67,9.79,-6.89
0.57,1,-0.45,-0.35,-0.60,18.80,9.84,-6.69
0.58,1,-0.41,-0.29,-0.48,18.88,9.85,-6.63
0.58,1,-0.34,-0.35,-0.56,18.79,9.66,-7.03
0.58,1,-0.41,-0.58,-0.95,18.37,9.53,-6.81
0.58,1,-0.34,-0.43,-0.69,18.47,9.67,-6.77
0.59,1,-0.37,-0.38,-0.71,18.34,9.82,-6.63
0.59,1,-0.44,-0.34,-0.88,18.53,9.87,-6.86
0.59,1,-0.47,-0.36,-0.72,18.41,9.94,-7.00
0.59,1,-0.48,-0.34,-0.66,18.40,10.05,-7.00
0.59,1,-0.55,-0.35,-0.68,18.78,9.93,-6.56
0.59,1,-0.44,-0.32,-0.64,18.67,9.56,-6.76
0.6,1,-0.42,-0.29,-0.71,18.73,9.82,-6.67
0.6,1,-0.51,-0.22,-0.60,18.51,10.00,-6.80
0.6,1,-0.49,-0.35,-0.68,18.53,9.76,-7.03
0.6,1,-0.46,-0.18,-0.68,18.60,8.92,-6.89
0.6,1,-0.22,-0.36,-0.53,18.84,8.89,-6.51
0.61,1,-0.49,-0.42,-0.78,18.97,9.05,-7.05
0.61,1,-0.47,-0.25,-0.68,19.12,9.16,-7.04
0.61,1,-0.54,-0.42,-0.78,18.76,9.24,-6.86
0.61,1,-0.37,-0.37,-0.74,19.01,8.97,-6.81
0.62,1,-0.33,-0.34,-0.68,18.91,8.79,-6.85
0.62,1,-0.40,-0.31,-0.68,19.04,9.24,-6.97
0.62,1,-0.43,-0.32,-0.71,19.03,9.25,-6.20
0.62,1,-0.51,-0.33,-0.77,18.98,9.32,-6.16
0.62,1,-0.47,-0.31,-0.68,19.11,9.06,-5.65
0.62,1,-0.42,-0.35,-0.63,19.02,8.56,-5.61
0.62,1,-0.40,-0.35,-0.67,19.27,8.75,-5.64
0.63,1,-0.42,-0.41,-0.94,19.18,8.82,-5.76
0.63,1,-0.31,-0.39,-0.75,19.01,8.53,-5.52
0.63,1,-0.31,-0.34,-0.72,19.19,8.73,-5.76
0.63,1,-0.47,-0.17,-0.58,18.99,8.76,-5.56
0.63,1,-0.50,-0.40,-0.55,18.92,8.98,-5.64
0.64,1,-0.48,-0.42,-0.61,18.79,9.36,-5.76
0.64,1,-0.49,-0.36,-0.64,19.35,8.95,-5.63
0.64,1,-0.50,-0.35,-0.68,18.79,8.97,-5.40
0.64,1,-0.45,-0.31,-0.69,18.95,9.31,-5.03
0.64,1,-0.42,-0.31,-0.68,19.06,9.19,-5.35
0.64,1,-0.36,-0.39,-0.66,19.05,9.01,-5.26
0.65,1,-0.42,-0.42,-0.70,18.87,9.09,-5.33
0.65,1,-0.37,-0.37,-0.68,19.01,8.90,-4.95
0.65,1,-0.38,-0.42,-0.65,18.90,9.05,-5.10
0.65,1,-0.45,-0.25,-0.54,19.07,9.26,-5.22
0.65,1,-0.54,-0.33,-0.61,19.08,8.95,-5.88
0.66,1,-0.53,-0.52,-0.67,18.95,9.22,-5.98
0.66,1,-0.36,-0.28,-0.68,19.08,9.15,-5.54
0.66,1,-0.49,-0.34,-0.63,18.94,8.98,-5.71
0.66,1,-0.47,-0.36,-0.63,18.82,9.32,-5.60
0.67,1,-0.48,-0.33,-0.64,19.06,8.92,-5.78
0.67,1,-0.49,-0.34,-0.69,19.07,9.17,-5.67
0.67,1,-0.46,-0.33,-0.72,19.33,9.06,-5.53
0.67,1,-0.47,-0.35,-0.66,18.89,9.16,-5.57
0.67,1,-0.44,-0.33,-0.66,18.99,9.17,-5.84
0.67,1,-0.43,-0.32,-0.63,18.98,8.97,-5.69
0.67,1,-0.45,-0.36,-0.75,19.08,9.16,-5.86
0.68,1,-0.38,-0.40,-0.79,19.11,9.06,-5.51
0.68,1,-0.43,-0.36,-0.58,19.03,9.19,-5.54
0.68,1,-0.40,-0.35,-0.64,18.57,9.27,-6.01
0.68,1,-0.44,-0.12,-0.83,18.81,9.13,-5.84
0.69,1,-0.40,-0.11,-0.72,18.91,9.48,-5.92
0.69,1,-0.56,-0.36,-0.76,18.60,9.44,-5.64
0.69,1,-0.46,-0.34,-0.64,18.66,9.26,-5.54
0.69,1,-0.50,-0.37,-0.64,18.66,9.08,-5.69
0.69,1,-0.51,-0.37,-0.70,18.70,9.20,-5.89
0.69,1,-0.42,-0.30,-0.78,18.66,9.29,-5.65
0.7,1,-0.41,-0.30,-0.59,18.69,9.26,-5.51
0.7,1,-0.47,-0.34,-0.64,18.76,9.49,-5.64
