time(s),boardID,aX,aY,aZ,gX,gY,gZ
0.51,1,-0.40,-0.32,-0.71,-22.03,-15.56,3.85
0.52,1,-0.44,-0.35,-0.71,-16.97,-14.24,1.02
0.53,1,-0.44,-0.34,-0.66,-8.48,-14.60,3.66
0.53,1,-0.48,-0.33,-0.65,-11.05,-8.68,5.29
0.53,1,-0.50,-0.33,-0.70,-12.31,-5.21,3.34
0.54,1,-0.51,-0.34,-0.70,-11.87,3.59,1.00
0.54,1,-0.45,-0.32,-0.65,-11.28,9.56,-6.78
0.54,1,-0.44,-0.32,-0.63,-11.47,25.79,-11.38
0.55,1,-0.50,-0.35,-0.74,-5.04,30.97,-6.95
0.55,1,-0.40,-0.35,-0.75,-9.45,20.47,-11.07
0.55,1,-0.37,-0.30,-0.57,-14.92,-4.53,-5.65
0.55,1,-0.49,-0.34,-0.76,-19.55,15.31,-6.86
0.56,1,-0.37,-0.19,-0.71,-10.46,-4.12,9.33
0.56,1,-0.49,-0.40,-0.81,-6.63,-6.44,0.76
0.57,1,-0.41,-0.29,-0.66,-12.97,-11.28,5.28
0.57,1,-0.43,-0.32,-0.66,-11.88,-15.71,4.85
0.57,1,-0.47,-0.40,-0.68,-14.11,-6.56,1.71
0.57,1,-0.47,-0.36,-0.66,-14.93,1.10,-2.08
0.58,1,-0.46,-0.33,-0.66,-14.74,-1.48,-2.21
0.58,1,-0.45,-0.34,-0.69,-13.38,-2.08,-1.87
0.58,1,-0.47,-0.35,-0.71,-8.43,-0.41,-2.82
0.58,1,-0.45,-0.33,-0.66,-12.92,5.34,-1.21
0.58,1,-0.46,-0.32,-0.67,-13.09,6.59,-4.34
0.58,1,-0.44,-0.34,-0.67,-14.86,8.86,-6.43
0.59,1,-0.43,-0.36,-0.72,-22.33,7.48,-5.23
0.59,1,-0.39,-0.32,-0.70,-16.52,4.80,-8.66
0.59,1,-0.38,-0.35,-0.69,-15.09,-3.88,-3.95
0.59,1,-0.36,-0.36,-0.74,-7.63,-13.06,0.95
0.6,1,-0.37,-0.40,-0.72,-13.34,-16.51,4.35
0.6,1,-0.40,-0.34,-0.69,-12.89,-14.08,3.71
0.6,1,-0.43,-0.35,-0.67,-13.95,-13.38,1.88
0.6,1,-0.46,-0.33,-0.69,-15.55,-4.49,1.53
0.6,1,-0.49,-0.36,-0.72,-13.73,6.29,2.29
0.6,1,-0.47,-0.32,-0.69,-13.41,13.82,-7.82
0.61,1,-0.48,-0.37,-0.75,-10.19,8.40,-4.99
0.61,1,-0.40,-0.34,-0.65,-14.44,13.49,-6.71
0.61,1,-0.40,-0.37,-0.74,-24.10,20.93,-8.83
0.61,1,-0.44,-0.31,-0.63,-12.40,6.41,-2.31
0.62,1,-0.48,-0.32,-0.77,-3.02,-2.58,3.92
0.62,1,-0.44,-0.37,-0.73,-9.81,14.74,-5.03
0.62,1,-0.47,-0.31,-0.65,-12.25,4.67,-4.61
0.62,1,-0.45,-0.38,-0.67,-14.51,5.34,-2.80
0.62,1,-0.43,-0.36,-0.73,-15.26,0.28,-1.49
0.63,1,-0.43,-0.32,-0.71,-14.45,-14.42,3.56
0.63,1,-0.42,-0.33,-0.65,-12.94,-16.75,4.49
0.63,1,-0.45,-0.42,-0.71,-17.76,-14.67,3.89
0.63,1,-0.46,-0.35,-0.67,-16.67,-5.37,-4.70
0.63,1,-0.47,-0.35,-0.70,-12.83,-0.31,-3.44
0.63,1,-0.46,-0.37,-0.63,-18.08,-1.15,-4.69
0.64,1,-0.44,-0.34,-0.68,-14.99,7.15,-2.70
0.64,1,-0.43,-0.32,-0.70,-14.60,8.43,-8.34
0.64,1,-0.41,-0.33,-0.68,-13.48,-7.85,1.64
0.64,1,-0.42,-0.37,-0.76,-12.45,-2.10,-4.12
0.65,1,-0.39,-0.35,-0.77,-3.83,-5.96,-0.15
0.65,1,-0.37,-0.33,-0.70,-12.43,-8.23,4.48
0.65,1,-0.40,-0.33,-0.70,-14.61,-13.03,1.13
0.65,1,-0.43,-0.37,-0.69,-16.03,-8.27,-0.05
0.65,1,-0.45,-0.36,-0.69,-13.71,-6.16,-0.85
0.66,1,-0.46,-0.34,-0.69,-14.89,-3.92,-2.98
0.66,1,-0.45,-0.35,-0.67,-14.05,1.27,-4.16
0.66,1,-0.45,-0.35,-0.68,-13.86,10.74,-5.82
0.66,1,-0.45,-0.41,-0.76,-9.18,12.64,3.26
0.66,1,-0.39,-0.31,-0.70,-9.92,9.60,-4.60
0.67,1,-0.45,-0.36,-0.71,-11.01,-0.27,0.90
0.67,1,-0.43,-0.32,-0.66,-13.65,5.04,0.76
0.67,1,-0.43,-0.33,-0.62,-11.44,4.83,-1.04
0.68,1,-0.49,-0.40,-0.80,-11.65,8.00,0.88
0.68,1,-0.42,-0.32,-0.69,-15.16,9.03,-8.11
0.68,1,-0.41,-0.32,-0.65,-13.39,-4.87,0.22
0.68,1,-0.45,-0.37,-0.69,-14.21,-5.64,-0.04
0.68,1,-0.48,-0.37,-0.70,-16.44,-1.07,-3.24
0.68,1,-0.45,-0.32,-0.67,-14.72,-1.73,-2.95
0.69,1,-0.43,-0.32,-0.69,-14.83,-2.76,-2.26
0.69,1,-0.45,-0.35,-0.72,-14.50,0.21,-3.10
0.69,1,-0.44,-0.34,-0.71,-9.76,-0.29,-2.30
0.69,1,-0.46,-0.34,-0.68,-13.82,-2.21,1.15
0.7,1,-0.41,-0.33,-0.68,-11.05,-0.67,2.78
0.7,1,-0.43,-0.33,-0.67,-9.31,0.18,-1.46
0.7,1,-0.42,-0.38,-0.69,-23.93,0.10,0.52
0.7,1,-0.41,-0.34,-0.71,-16.29,-0.02,-4.47
0.7,1,-0.43,-0.37,-0.72,-14.48,-1.10,-6.85
0.71,1,-0.40,-0.33,-0.71,-15.51,-2.60,-4.33
0.71,1,-0.38,-0.34,-0.71,-15.24,-5.97,-5.02
0.71,1,-0.42,-0.34,-0.69,-15.11,-4.08,-1.69
0.71,1,-0.44,-0.34,-0.69,-13.23,-5.28,0.40
0.71,1,-0.44,-0.35,-0.69,-12.51,-1.88,2.77
0.72,1,-0.44,-0.34,-0.70,-12.27,2.05,0.51
0.72,1,-0.45,-0.34,-0.69,-13.24,6.12,-1.24
0.72,1,-0.44,-0.33,-0.71,-9.96,5.95,-1.48
0.72,1,-0.43,-0.33,-0.66,-11.90,-0.74,-3.07
0.73,1,-0.43,-0.33,-0.68,-14.92,7.79,-0.34
0.73,1,-0.43,-0.33,-0.77,-21.18,15.29,-6.47
0.73,1,-0.36,-0.29,-0.67,-13.58,-0.16,-3.70
0.73,1,-0.44,-0.36,-0.70,-9.85,-13.31,2.60
0.73,1,-0.49,-0.38,-0.72,-14.72,-3.11,-2.83
0.73,1,-0.47,-0.32,-0.67,-16.82,2.53,-5.72
0.74,1,-0.43,-0.31,-0.67,-15.07,1.94,-3.27
0.74,1,-0.44,-0.34,-0.69,-13.58,3.85,-3.80
0.74,1,-0.45,-0.36,-0.70,-13.48,4.26,-1.31
0.74,1,-0.43,-0.34,-0.71,-13.60,4.62,-0.34
0.75,1,-0.42,-0.33,-0.69,-13.48,0.63,-0.92
0.75,1,-0.42,-0.33,-0.69,-13.18,-2.74,-0.80
0.75,1,-0.43,-0.35,-0.71,-11.89,-3.21,-1.27
0.75,1,-0.43,-0.33,-0.77,-11.81,-6.88,1.01
0.75,1,-0.46,-0.33,-0.68,-12.95,1.68,2.63
0.75,1,-0.40,-0.30,-0.66,-10.47,-3.08,-1.38
0.76,1,-0.43,-0.36,-0.69,-24.57,-6.97,-0.44
0.76,1,-0.43,-0.37,-0.72,-19.34,-4.15,-6.24
0.76,1,-0.43,-0.36,-0.74,-18.11,-2.01,-10.24
0.76,1,-0.42,-0.32,-0.71,-17.93,-2.67,-6.56
0.77,1,-0.42,-0.32,-0.70,-14.42,-4.68,-3.75
0.77,1,-0.43,-0.34,-0.69,-12.76,-5.54,1.06
0.77,1,-0.45,-0.34,-0.69,-12.27,-2.68,1.66
0.77,1,-0.43,-0.34,-0.70,-12.00,3.46,1.63
0.77,1,-0.43,-0.34,-0.69,-10.74,8.18,1.56
0.78,1,-0.44,-0.34,-0.70,-9.51,9.52,0.45
0.78,1,-0.44,-0.32,-0.72,-7.47,2.44,-1.52
0.78,1,-0.42,-0.35,-0.70,-14.76,3.86,-0.60
0.78,1,-0.40,-0.33,-0.68,-15.20,4.99,-2.31
0.78,1,-0.42,-0.34,-0.67,-16.44,6.15,-5.95
0.79,1,-0.47,-0.36,-0.69,-15.78,-6.12,1.34
0.79,1,-0.46,-0.35,-0.70,-15.08,-8.52,-2.11
0.79,1,-0.44,-0.33,-0.67,-15.05,-5.76,-0.47
0.79,1,-0.47,-0.33,-0.68,-13.82,-3.97,-1.24
0.8,1,-0.47,-0.35,-0.70,-14.39,3.04,-2.35
0.8,1,-0.46,-0.34,-0.70,-14.31,8.69,-5.27
0.8,1,-0.43,-0.33,-0.68,-14.02,8.19,-5.13
0.8,1,-0.42,-0.33,-0.70,-14.73,3.70,-3.79
0.8,1,-0.42,-0.35,-0.71,-14.34,0.77,-3.30
0.8,1,-0.42,-0.34,-0.71,-12.06,-1.70,-2.02
0.81,1,-0.42,-0.34,-0.72,-9.01,-2.63,-0.11
0.81,1,-0.43,-0.33,-0.69,-14.47,-2.67,2.33
0.81,1,-0.43,-0.33,-0.68,-12.95,-4.56,-0.02
0.82,1,-0.43,-0.33,-0.68,-12.11,-3.79,-0.08
0.82,1,-0.44,-0.36,-0.70,-14.27,-3.60,-1.15
0.82,1,-0.43,-0.34,-0.73,-18.49,-5.18,0.35
0.83,1,-0.41,-0.34,-0.71,-16.40,-7.98,-4.63
0.83,1,-0.42,-0.37,-0.69,-15.77,-4.79,-2.89
0.83,1,-0.45,-0.32,-0.70,-14.09,-4.56,-1.14
0.83,1,-0.44,-0.33,-0.69,-13.03,-4.18,-1.50
0.83,1,-0.45,-0.35,-0.70,-14.42,2.82,-1.87
0.83,1,-0.45,-0.34,-0.70,-13.34,7.59,-3.19
0.84,1,-0.46,-0.34,-0.71,-12.46,4.27,-4.01
0.84,1,-0.43,-0.34,-0.67,-13.69,5.76,-5.29
0.88,1,-0.43,-0.34,-0.68,-14.47,7.21,-4.32
0.89,1,-0.42,-0.34,-0.68,-13.29,6.69,-4.50
0.91,1,-0.43,-0.36,-0.72,-18.53,7.36,0.15
0.94,1,-0.41,-0.33,-0.67,-12.11,-2.21,5.26
0.95,1,-0.44,-0.34,-0.69,-10.83,-10.88,1.34
0.96,1,-0.46,-0.35,-0.69,-13.64,-7.71,4.02
0.96,1,-0.46,-0.33,-0.68,-13.38,-4.68,-1.73
0.96,1,-0.46,-0.34,-0.68,-13.39,2.25,-2.46
0.97,1,-0.45,-0.33,-0.70,-14.41,4.35,-4.07
0.98,1,-0.44,-0.34,-0.70,-16.41,4.28,-5.04
0.99,1,-0.44,-0.34,-0.69,-16.23,3.63,-4.79
1.0,1,-0.44,-0.34,-0.70,-15.47,0.86,-4.37
1.0,1,-0.43,-0.34,-0.70,-13.43,0.90,-3.91
1.0,1,-0.43,-0.34,-0.70,-11.11,2.32,-3.92
1.0,1,-0.42,-0.36,-0.70,-13.24,1.88,-1.35
1.01,1,-0.40,-0.35,-0.70,-13.53,-0.20,-0.82
1.01,1,-0.41,-0.33,-0.69,-13.79,-3.76,-1.15
1.01,1,-0.42,-0.33,-0.70,-13.12,-8.28,0.98
1.02,1,-0.42,-0.35,-0.68,-11.99,-9.01,1.66
